League,GameId,MatchId,WinTeam,LossTeam,BestOf,SeriesScore,Gamelength,Team1Gold,Team2Gold,Team1Kills,Team2Kills
LPL,LPL/2025 Season/Grand Finals_Finals_1_1,LPL/2025 Season/Grand Finals_Finals_1,Top Esports,Bilibili Gaming,5.0,3-2,31:35,51369,59057,4,10
LPL,LPL/2025 Season/Grand Finals_Finals_1_2,LPL/2025 Season/Grand Finals_Finals_1,Bilibili Gaming,Top Esports,5.0,3-2,26:48,59340,40797,28,7
LPL,LPL/2025 Season/Grand Finals_Finals_1_3,LPL/2025 Season/Grand Finals_Finals_1,Top Esports,Bilibili Gaming,5.0,3-2,28:56,57699,50491,16,10
LPL,LPL/2025 Season/Grand Finals_Finals_1_4,LPL/2025 Season/Grand Finals_Finals_1,Bilibili Gaming,Top Esports,5.0,3-2,27:09,60130,44311,32,7
LPL,LPL/2025 Season/Grand Finals_Finals_1_5,LPL/2025 Season/Grand Finals_Finals_1,Bilibili Gaming,Top Esports,5.0,3-2,39:37,67397,75680,11,27
LPL,LPL/2025 Season/Grand Finals_Play-In_1_1,LPL/2025 Season/Grand Finals_Play-In_1,FunPlus Phoenix,Ninjas in Pyjamas.CN,5.0,2-3,32:30,64187,54831,23,10
LPL,LPL/2025 Season/Grand Finals_Play-In_1_2,LPL/2025 Season/Grand Finals_Play-In_1,Ninjas in Pyjamas.CN,FunPlus Phoenix,5.0,2-3,45:02,90602,79371,28,26
LPL,LPL/2025 Season/Grand Finals_Play-In_1_3,LPL/2025 Season/Grand Finals_Play-In_1,FunPlus Phoenix,Ninjas in Pyjamas.CN,5.0,2-3,34:16,67568,56522,17,8
LPL,LPL/2025 Season/Grand Finals_Play-In_1_4,LPL/2025 Season/Grand Finals_Play-In_1,Ninjas in Pyjamas.CN,FunPlus Phoenix,5.0,2-3,25:02,50562,40967,19,7
LPL,LPL/2025 Season/Grand Finals_Play-In_1_5,LPL/2025 Season/Grand Finals_Play-In_1,Ninjas in Pyjamas.CN,FunPlus Phoenix,5.0,2-3,28:02,50159,60504,21,25
LPL,LPL/2025 Season/Grand Finals_Play-In_2_1,LPL/2025 Season/Grand Finals_Play-In_2,EDward Gaming,Team WE,5.0,1-3,30:08,50793,61752,14,26
LPL,LPL/2025 Season/Grand Finals_Play-In_2_2,LPL/2025 Season/Grand Finals_Play-In_2,EDward Gaming,Team WE,5.0,1-3,29:39,53562,62022,12,22
